Titulo,Autor,Link,Fecha,Respuestas,Imagen
fortnite or pubg,barkaszfeju,https://gamehag.com/forum/t/506334-fortnite-or-pubg91,1 year ago,2,https://gamehag.com/img/rank/1.png
Wich platform ur in playing fortnite?,Sqnty_kun,https://gamehag.com/forum/t/438197-wich-platform-ur-in-playing-fortnite,1 year ago,28,https://gamehag.com/img/rank/2.png
Do u think this game is ugly?,MLKAMOMNKO,https://gamehag.com/forum/t/414196-do-u-think-this-game-is-ugly,2 years ago,22,https://gamehag.com/img/rank/1.png
Which Season was the best?,yyeman,https://gamehag.com/forum/t/476618-which-season-was-the-best2,1 year ago,11,https://gamehag.com/img/rank/2.png
"Hello, Can somebody invite me?",GAYNESS,https://gamehag.com/forum/t/482367-hello-can-somebody-invite-me,1 year ago,7,https://gamehag.com/img/rank/2.png
is fortnite dying? cause ive not seen fortnite videos on my recommended,SMYRON99,https://gamehag.com/forum/t/487650-is-fortnite-dying-cause-ive-not-seen-fortnite-videos-on-my-recommended,1 year ago,3,https://gamehag.com/img/rank/2.png
fornite not good,Spacexchu,https://gamehag.com/forum/t/479617-fornite-not-good,1 year ago,14,https://gamehag.com/img/rank/1.png
Minecraft is better than fortnite no cap,mr_wh0areyou,https://gamehag.com/forum/t/489400-minecraft-is-better-than-fortnite-no-cap,1 year ago,3,https://gamehag.com/img/rank/1.png
who is better Scope or Hightsky,textra,https://gamehag.com/forum/t/441326-who-is-better-scope-or-hightsky,2 years ago,7,https://gamehag.com/img/rank/2.png
fornite is game,KortisN,https://gamehag.com/forum/t/120041-fornite-is-game1,3 years ago,6,https://gamehag.com/img/rank/2.png
fortnitre fortnitre fortnitre fortnitre fortnitre,jihhnyyetr,https://gamehag.com/forum/t/487576-fortnitre-fortnitre-fortnitre-fortnitre-fortnitre1,1 year ago,2,https://gamehag.com/img/rank/2.png
Fortnite rating,Kukorcraft_YT,https://gamehag.com/forum/t/486544-fortnite-rating1,1 year ago,7,https://gamehag.com/img/rank/3.png
What are your favourite fortnite skins?,djgamesyt,https://gamehag.com/forum/t/486281-what-are-your-favourite-fortnite-skins,1 year ago,8,https://gamehag.com/img/rank/2.png
anyone play fortnite,Asock0,https://gamehag.com/forum/t/486322-anyone-play-fortnite,1 year ago,2,https://gamehag.com/img/rank/2.png
why is that,Game_Girl515,https://gamehag.com/forum/t/473632-why-is-that,1 year ago,9,https://gamehag.com/img/rank/2.png
how to build really fast?,DestruktorWasTaken,https://gamehag.com/forum/t/470405-how-to-build-really-fast,1 year ago,19,https://gamehag.com/img/rank/2.png
I just won my first game,DuckMan33,https://gamehag.com/forum/t/484648-i-just-won-my-first-game,1 year ago,3,https://gamehag.com/img/rank/2.png
is fortnite still relevant?,J4nk3r,https://gamehag.com/forum/t/481105-is-fortnite-still-relevant2,1 year ago,10,https://gamehag.com/img/rank/1.png
"Comments, reviews and ratings of the game F: Battle Royale",DikorN,https://gamehag.com/games/fortnite/comments,6 days ago,1089,https://gamehag.com/img/rank/1.png
Fortnite is overrated .,Oshan1045,https://gamehag.com/forum/t/483671-fortnite-is-overrated-,1 year ago,1,https://gamehag.com/img/rank/2.png
Fortnite is a nice game but ..,Nomodomo,https://gamehag.com/forum/t/38180-fortnite-is-a-nice-game-but-,1 year ago,20,https://gamehag.com/img/rank/2.png
fortnite kinda sucks ,jonel_bacea,https://gamehag.com/forum/t/480489-fortnite-kinda-sucks-,1 year ago,15,https://gamehag.com/img/rank/2.png
wanna fort,abdulah_kesici,https://gamehag.com/forum/t/479970-wanna-fort,1 year ago,11,https://gamehag.com/img/rank/1.png
fortnite or dota 2 ,arsenalimmd,https://gamehag.com/forum/t/480502-fortnite-or-dota-2-,1 year ago,1,https://gamehag.com/img/rank/5.png
Fortnite is dead,FortniteQueen242,https://gamehag.com/forum/t/479914-fortnite-is-dead13,1 year ago,3,https://gamehag.com/img/rank/1.png
I like fortnite,AmishJ,https://gamehag.com/forum/t/475859-i-like-fortnite7,1 year ago,11,https://gamehag.com/img/rank/2.png
Is the fortnite community getting toxic day by day?,yaboiXDDDD,https://gamehag.com/forum/t/476968-is-the-fortnite-community-getting-toxic-day-by-day,1 year ago,4,https://gamehag.com/img/rank/1.png
Who even plays this game anymore,Jashandeep0308,https://gamehag.com/forum/t/478058-who-even-plays-this-game-anymore1,1 year ago,3,https://gamehag.com/img/rank/3.png
Who even plays this game anymore,idegas1312,https://gamehag.com/forum/t/477536-who-even-plays-this-game-anymore,1 year ago,6,https://gamehag.com/img/rank/2.png
Earnings check?,Babyisher,https://gamehag.com/forum/t/476935-earnings-check,1 year ago,2,https://gamehag.com/img/rank/1.png
Fortnite Update and Raytracing Features,lukiebear,https://gamehag.com/forum/t/475028-fortnite-update-and-raytracing-features,1 year ago,2,https://gamehag.com/img/rank/2.png
How was the marshmello event in your opinion?,ByZack,https://gamehag.com/forum/t/67217-how-was-the-marshmello-event-in-your-opinion,1 year ago,13,https://gamehag.com/img/rank/2.png
Is The Game currently dying? and do you think it will die in the future? Do you Still play the Game too?,Flethra,https://gamehag.com/forum/t/476204-is-the-game-currently-dying-and-do-you-think-it-will-die-in-the-future-do-you-still-play-the-game-too,1 year ago,1,https://gamehag.com/img/rank/1.png
Is fortnite dying?,AmishJ,https://gamehag.com/forum/t/475393-is-fortnite-dying19,1 year ago,9,https://gamehag.com/img/rank/2.png
"Reached level 5 in 1 and a half hour. The game was boring, with the same over an over again",Badornik,https://gamehag.com/forum/t/390566-reached-level-5-in-1-and-a-half-hour-the-game-was-boring-with-the-same-over-an-over-again1,1 year ago,9,https://gamehag.com/img/rank/2.png
vey good game ,melbs634,https://gamehag.com/forum/t/466594-vey-good-game-7,1 year ago,5,https://gamehag.com/img/rank/1.png
i love fornite you guys?,Jbainz,https://gamehag.com/forum/t/468126-i-love-fornite-you-guys,1 year ago,7,https://gamehag.com/img/rank/2.png
Fortnite lets go,Denzdemr,https://gamehag.com/forum/t/38758-fortnite-lets-go,1 year ago,5,https://gamehag.com/img/rank/2.png
what is your best victory royale,babaMulon,https://gamehag.com/forum/t/413133-what-is-your-best-victory-royale,1 year ago,16,https://gamehag.com/img/rank/1.png
"Comments, reviews and ratings of the game F: Battle Royale",DikorN,https://gamehag.com/games/fortnite/comments,6 days ago,1089,https://gamehag.com/img/rank/1.png
Full Story of fortnite,kingishere,https://gamehag.com/forum/t/445677-full-story-of-fortnite,1 year ago,4,https://gamehag.com/img/rank/2.png
i drop tilett ,flowermann,https://gamehag.com/forum/t/468124-i-drop-tilett-,1 year ago,2,https://gamehag.com/img/rank/2.png
RECURSE GAMING - community for avid gamers - hosting weekly Fortnite tournaments with cash prizes!,tapples,https://gamehag.com/forum/t/465433-recurse-gaming---community-for-avid-gamers---hosting-weekly-fortnite-tournaments-with-cash-prizes,1 year ago,4,https://gamehag.com/img/rank/2.png
what do you think will be in the next season?,cm864,https://gamehag.com/forum/t/468022-what-do-you-think-will-be-in-the-next-season,1 year ago,1,https://gamehag.com/img/rank/2.png
Who like new weapon's?,xXPussyHunterXx,https://gamehag.com/forum/t/467373-who-like-new-weapons,1 year ago,2,https://gamehag.com/img/rank/2.png
rate fortnite improvement,enderbox0718,https://gamehag.com/forum/t/465477-rate-fortnite-improvement,1 year ago,5,https://gamehag.com/img/rank/2.png
New leveler action shotgun?,MAR_THANO,https://gamehag.com/forum/t/466591-new-leveler-action-shotgun,1 year ago,1,https://gamehag.com/img/rank/1.png
Best esports player in fortnite?,basszalakarcon,https://gamehag.com/forum/t/431747-best-esports-player-in-fortnite,2 years ago,5,https://gamehag.com/img/rank/2.png
Favorite Current Weapon/Item in Fortnite BR?,chiurocky,https://gamehag.com/forum/t/451205-favorite-current-weaponitem-in-fortnite-br,1 year ago,5,https://gamehag.com/img/rank/2.png
BEST PC Game,Damageggg,https://gamehag.com/forum/t/448101-best-pc-game,1 year ago,14,https://gamehag.com/img/rank/1.png
We Like Fortnite!!!!,nemilosu_arenagolaniiro,https://gamehag.com/forum/t/425243-we-like-fortnite,1 year ago,39,https://gamehag.com/img/rank/2.png
building in fortnite,Hustlers,https://gamehag.com/forum/t/451106-building-in-fortnite,1 year ago,2,https://gamehag.com/img/rank/1.png
fortnite dead?,Zyoidax,https://gamehag.com/forum/t/445537-fortnite-dead2,1 year ago,28,https://gamehag.com/img/rank/1.png
the community on this game is very toxic,HelloMateAyy,https://gamehag.com/forum/t/441144-the-community-on-this-game-is-very-toxic,1 year ago,12,https://gamehag.com/img/rank/1.png
2k or fortnite which is better,bobpoint,https://gamehag.com/forum/t/456571-2k-or-fortnite-which-is-better,1 year ago,4,https://gamehag.com/img/rank/2.png
Does anyone else think that the old days of Fortnite were better?,EncryptedVibes,https://gamehag.com/forum/t/461631-does-anyone-else-think-that-the-old-days-of-fortnite-were-better,1 year ago,2,https://gamehag.com/img/rank/2.png
"What is this game is it goood,??",Ahmadaug,https://gamehag.com/forum/t/452127-what-is-this-game-is-it-goood1,1 year ago,3,https://gamehag.com/img/rank/2.png
how wants to play with me fortnite battle royal,Thisshouldwork123,https://gamehag.com/forum/t/462216-how-wants-to-play-with-me-fortnite-battle-royal,1 year ago,4,https://gamehag.com/img/rank/2.png
