Titulo,Autor,Edad,Link,Fecha,Respuestas,Imagen,JuegosRecientes
Who like new weapon's?,xXPussyHunterXx,17,https://gamehag.com/forum/t/467373-who-like-new-weapons,1 year ago,2,https://gamehag.com/img/rank/2.png,War ThunderWorld of WarshipsCrossoutWorld of Warships - Free Premium Bonus!|
rate fortnite improvement,enderbox0718,2,https://gamehag.com/forum/t/465477-rate-fortnite-improvement,1 year ago,5,https://gamehag.com/img/rank/2.png,Crossout|
New leveler action shotgun?,MAR_THANO,15,https://gamehag.com/forum/t/466591-new-leveler-action-shotgun,1 year ago,1,https://gamehag.com/img/rank/1.png,|
Best esports player in fortnite?,basszalakarcon,2,https://gamehag.com/forum/t/431747-best-esports-player-in-fortnite,2 years ago,5,https://gamehag.com/img/rank/2.png,War ThunderStar StableCrossoutLineage 2 Classic|
Favorite Current Weapon/Item in Fortnite BR?,chiurocky,26,https://gamehag.com/forum/t/451205-favorite-current-weaponitem-in-fortnite-br,1 year ago,5,https://gamehag.com/img/rank/2.png,|
BEST PC Game,Damageggg,20,https://gamehag.com/forum/t/448101-best-pc-game,1 year ago,14,https://gamehag.com/img/rank/1.png,|
We Like Fortnite!!!!,nemilosu_arenagolaniiro,27,https://gamehag.com/forum/t/425243-we-like-fortnite,1 year ago,39,https://gamehag.com/img/rank/2.png,War ThunderRail Nation|
building in fortnite,Hustlers,"",https://gamehag.com/forum/t/451106-building-in-fortnite,1 year ago,2,https://gamehag.com/img/rank/1.png,|
fortnite dead?,Zyoidax,"",https://gamehag.com/forum/t/445537-fortnite-dead2,1 year ago,28,https://gamehag.com/img/rank/1.png,War ThunderCrossoutGame of Thrones Winter is Coming|
the community on this game is very toxic,HelloMateAyy,"",https://gamehag.com/forum/t/441144-the-community-on-this-game-is-very-toxic,1 year ago,12,https://gamehag.com/img/rank/1.png,Raid: Shadow LegendsAmazon Prime|
2k or fortnite which is better,bobpoint,28,https://gamehag.com/forum/t/456571-2k-or-fortnite-which-is-better,1 year ago,4,https://gamehag.com/img/rank/2.png,War ThunderStronghold KingdomsWizard 101Vikings: War of Clans|
Does anyone else think that the old days of Fortnite were better?,EncryptedVibes,"",https://gamehag.com/forum/t/461631-does-anyone-else-think-that-the-old-days-of-fortnite-were-better,1 year ago,2,https://gamehag.com/img/rank/2.png,War ThunderWizard 101|
What is this game is it goood??,Ahmadaug,"",https://gamehag.com/forum/t/452127-what-is-this-game-is-it-goood1,2 years ago,3,https://gamehag.com/img/rank/2.png,Raid: Shadow Legends|
how wants to play with me fortnite battle royal,Thisshouldwork123,28,https://gamehag.com/forum/t/462216-how-wants-to-play-with-me-fortnite-battle-royal,1 year ago,4,https://gamehag.com/img/rank/2.png,|
who want to pley ,Ch0rba,18,https://gamehag.com/forum/t/459453-who-want-to-pley-,1 year ago,2,https://gamehag.com/img/rank/2.png,SAO's Legend|
old map in game,carsonknight95,"",https://gamehag.com/forum/t/440353-old-map-in-game,2 years ago,13,https://gamehag.com/img/rank/1.png,|
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png,Raid: Shadow Legends|
fortnite is really fun,alikoter,17,https://gamehag.com/forum/t/456572-fortnite-is-really-fun,1 year ago,2,https://gamehag.com/img/rank/1.png,War ThunderStar ConflictWorld of WarshipsStar Stable|
How toxic is the game?,demoknightmandudeguyladfellowboi,28,https://gamehag.com/forum/t/445813-how-toxic-is-the-game,2 years ago,10,https://gamehag.com/img/rank/1.png,War ThunderNostale|
fornite ... A nice game,ss95,22,https://gamehag.com/forum/t/431897-fornite--a-nice-game,2 years ago,6,https://gamehag.com/img/rank/1.png,World of Warships - Free Premium Bonus!|
Comments reviews and ratings of the game - FORNITE,Ven0M_Slo,22,https://gamehag.com/forum/t/449441-comments-reviews-and-ratings-of-the-game---fornite,2 years ago,7,https://gamehag.com/img/rank/2.png,War ThunderVikings: War of ClansRaid: Shadow LegendsLeague of Angels: Heaven's Fury|
any good horror games?,misha10000,"",https://gamehag.com/forum/t/449660-any-good-horror-games,2 years ago,3,https://gamehag.com/img/rank/3.png,My Little FarmiesNeverwinterRobloxAdventure with MistyRaid: Shadow Legends|
Fortnite season 3 the fail season ,aleksss06,2,https://gamehag.com/forum/t/448993-fortnite-season-3-the-fail-season-,2 years ago,7,https://gamehag.com/img/rank/3.png,Forge of EmpiresWar ThunderBleach OnlineSAO's LegendVikings: War of Clans|
best vpn for game,Aitjaggillarost,23,https://gamehag.com/forum/t/287475-best-vpn-for-game,2 years ago,11,https://gamehag.com/img/rank/3.png,War ThunderCrossoutWorld of Warships - Free Premium Bonus!|
What is the best weapon in the game.,erdem8976859248,37,https://gamehag.com/forum/t/447638-what-is-the-best-weapon-in-the-game1,2 years ago,2,https://gamehag.com/img/rank/2.png,IkariamWar ThunderStar ConflictWorld of WarshipsDark Orbit ReloadedStar Stable|
what's the best event about you in fortnite battle royal,asobeeg12,22,https://gamehag.com/forum/t/448942-whats-the-best-event-about-you-in-fortnite-battle-royal,2 years ago,1,https://gamehag.com/img/rank/2.png,CrossoutRaid: Shadow Legends|
