Titulo,Autor,Edad,Link,Fecha,Respuestas,Imagen,JuegosRecientes
Why do people hate fortnite? (I personally agree but i wanna see why other people hate it),Wozzby,22,https://gamehag.com/forum/t/329157-why-do-people-hate-fortnite-i-personally-agree-but-i-wanna-see-why-other-people-hate-it,2 years ago,2,https://gamehag.com/img/rank/2.png,War ThunderCrossoutStar Trek OnlineTroveWorld of Warships - Free Premium Bonus!Game of Kings: The Blood Throne|
Was it hard to get a win?,Wozzby,22,https://gamehag.com/forum/t/328355-was-it-hard-to-get-a-win,2 years ago,5,https://gamehag.com/img/rank/2.png,War ThunderCrossoutStar Trek OnlineTroveWorld of Warships - Free Premium Bonus!Game of Kings: The Blood Throne|
ROBLOX OR FORTNITE?!,Wozzby,22,https://gamehag.com/forum/t/324428-roblox-or-fortnite25,2 years ago,22,https://gamehag.com/img/rank/2.png,War ThunderCrossoutStar Trek OnlineTroveWorld of Warships - Free Premium Bonus!Game of Kings: The Blood Throne|
Best skin? ,SunOriginal,1,https://gamehag.com/forum/t/327688-best-skin-2,2 years ago,2,https://gamehag.com/img/rank/2.png,War ThunderHero ZeroF: Battle RoyaleWorld of Warships - Free Premium Bonus!|
Minecraft or fortnite? ,m_a_t_e_s,22,https://gamehag.com/forum/t/328325-minecraft-or-fortnite-1,2 years ago,2,https://gamehag.com/img/rank/2.png,Hero ZeroStar ConflictWorld of Warships - Free Premium Bonus!|
Epic skin? ,PowerDragonGG,"",https://gamehag.com/forum/t/327715-epic-skin-,2 years ago,2,https://gamehag.com/img/rank/2.png,F: Battle Royale|
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png,Raid: Shadow Legends|
OK what else to say?,Erfan715,2,https://gamehag.com/forum/t/326570-ok-what-else-to-say,2 years ago,5,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictRobloxCrossoutVast WarsLineage 2 Classic|
Who would you save from getting hit by a truck Ninja or a sewer rat? ,robot_csgopointscom,15,https://gamehag.com/forum/t/327613-who-would-you-save-from-getting-hit-by-a-truck-ninja-or-a-sewer-rat-,2 years ago,4,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictCrossoutSword Art Online|
que es lo peor que ha echo fortnite,danita_d,20,https://gamehag.com/forum/t/328007-que-es-lo-peor-que-ha-echo-fortnite,2 years ago,1,https://gamehag.com/img/rank/2.png,|
Easy est challange? What is it? ,DrAliveBEAST,35,https://gamehag.com/forum/t/327689-easy-est-challange-what-is-it-,2 years ago,1,https://gamehag.com/img/rank/1.png,War ThunderStar ConflictWorld of WarshipsLineage 2GrepolisRoblox|
PUPG OR FORTNITE?,MetDkWHun,2,https://gamehag.com/forum/t/327568-pupg-or-fortnite,2 years ago,1,https://gamehag.com/img/rank/2.png,War ThunderBig Bang EmpireAdventure with MistyWorld of Warships - Free Premium Bonus!|
Chapter 2 Season 3,HisNameIsPetr91,2,https://gamehag.com/forum/t/327459-chapter-2-season-3,2 years ago,3,https://gamehag.com/img/rank/2.png,War ThunderCrossoutPirates of the Caribbean: ToWWorld of Warships - Free Premium Bonus!|
Which skin is the best in fortnite?,XIX163,14,https://gamehag.com/forum/t/327263-which-skin-is-the-best-in-fortnite,2 years ago,1,https://gamehag.com/img/rank/2.png,CrossoutGame of Thrones Winter is ComingWorld of Warships - Free Premium Bonus!|
Is Sweats Ruining The game?,rytis_gulbinas,33,https://gamehag.com/forum/t/327232-is-sweats-ruining-the-game,2 years ago,1,https://gamehag.com/img/rank/2.png,War ThunderLineage 2RobloxF: Battle RoyaleDarkmoon RealmFifa Online 4|
how many time's you no scope people?,treemoon43,16,https://gamehag.com/forum/t/327108-how-many-times-you-no-scope-people,2 years ago,1,https://gamehag.com/img/rank/2.png,World of Warships - Free Premium Bonus!|
favorite gun,PowerDragonGG,"",https://gamehag.com/forum/t/325706-favorite-gun13,2 years ago,12,https://gamehag.com/img/rank/2.png,F: Battle Royale|
Best guns and melee,CynicalFishy,101,https://gamehag.com/forum/t/326055-best-guns-and-melee,2 years ago,3,https://gamehag.com/img/rank/1.png,ArcheAgeCrossoutHeroes OriginRaid: Shadow Legends|
this game is ded,SunOriginal,1,https://gamehag.com/forum/t/326271-this-game-is-ded,2 years ago,3,https://gamehag.com/img/rank/2.png,War ThunderHero ZeroF: Battle RoyaleWorld of Warships - Free Premium Bonus!|
Is fortnite a good game? ,pdeplatypus,25,https://gamehag.com/forum/t/325476-is-fortnite-a-good-game-,2 years ago,7,https://gamehag.com/img/rank/3.png,Star ConflictLords MobileOne Piece H5Raid: Shadow LegendsRise of Kingdoms: Lost Crusade|
A Fortnite major problem,MadamAgony,21,https://gamehag.com/forum/t/325683-a-fortnite-major-problem,2 years ago,1,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictWarTuneCrossoutAdventure with MistyDragon Lord|
i want to kill people,HisNameIsPetr91,2,https://gamehag.com/forum/t/324949-i-want-to-kill-people,2 years ago,4,https://gamehag.com/img/rank/2.png,War ThunderCrossoutPirates of the Caribbean: ToWWorld of Warships - Free Premium Bonus!|
BEST GAMAE EVER,emperor98,28,https://gamehag.com/forum/t/321835-best-gamae-ever1,2 years ago,3,https://gamehag.com/img/rank/3.png,Forge of EmpiresWar ThunderTravianStar ConflictWorld of WarshipsWarTune|
fortnite weapons,Ak4111,"",https://gamehag.com/forum/t/325041-fortnite--weapons,2 years ago,1,https://gamehag.com/img/rank/2.png,Darkmoon RealmWorld of Warships - Free Premium Bonus!|
map fortnighte,Ak4111,"",https://gamehag.com/forum/t/325039-map-fortnighte,2 years ago,1,https://gamehag.com/img/rank/2.png,Darkmoon RealmWorld of Warships - Free Premium Bonus!|
who likes fortnite,EKZX,1,https://gamehag.com/forum/t/324078-who-likes-fortnite4,2 years ago,5,https://gamehag.com/img/rank/4.png,War ThunderStar ConflictWarframeCrossoutMythic GloryHarvest Land|
my comment,AGEMIN,24,https://gamehag.com/forum/t/323327-my-comment,2 years ago,3,https://gamehag.com/img/rank/2.png,Star Trek OnlineLords MobileAdventure with MistyOne Piece Online 2Soul CaliburLeague of Angels III|
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png,Raid: Shadow Legends|
fortnite a good game,arian_1386,25,https://gamehag.com/forum/t/323324-fortnite-a-good-game1,2 years ago,1,https://gamehag.com/img/rank/2.png,|
in youtube who is the best player in the world,noobyeahnoobyeah,"",https://gamehag.com/forum/t/322132-in-youtube-who-is-the-best-player-in-the-world1,2 years ago,7,https://gamehag.com/img/rank/2.png,War ThunderWorld of WarshipsNaruto OnlineRobloxF: Battle RoyaleRise of Kingdoms|
fortnite or Valorant,akelasok2000,38,https://gamehag.com/forum/t/321871-fortnite-or-valorant2,2 years ago,4,https://gamehag.com/img/rank/6.png,World of TanksWar ThunderStar ConflictSAO's LegendWarTuneLineage 2|
What is your favorite weapon in fortnite,ninja_6YT6,"",https://gamehag.com/forum/t/322957-what-is-your-favorite-weapon-in-fortnite,2 years ago,2,https://gamehag.com/img/rank/1.png,War ThunderCrossoutWorld of Warships - Free Premium Bonus!|
Is Fortnite a Great game? To me it is dying And the community is getting Horrifying,rytis_gulbinas,33,https://gamehag.com/forum/t/321718-is-fortnite-a-great-game-to-me-it-is-dying-and-the-community-is-getting-horrifying,2 years ago,4,https://gamehag.com/img/rank/2.png,War ThunderLineage 2RobloxF: Battle RoyaleDarkmoon RealmFifa Online 4|
Fortnite vs Roblox vs Pubg,Dacul99,2,https://gamehag.com/forum/t/322714-fortnite-vs-roblox-vs-pubg,2 years ago,1,https://gamehag.com/img/rank/2.png,War ThunderCrossoutWorld of Warships - Free Premium Bonus!|
fortnite pro,oohpro,"",https://gamehag.com/forum/t/322398-fortnite-pro5,2 years ago,1,https://gamehag.com/img/rank/1.png,War Thunder|
whats fortnite,lizardwizard2,21,https://gamehag.com/forum/t/320681-whats-fortnite4,2 years ago,13,https://gamehag.com/img/rank/2.png,Darkmoon RealmRaid: Shadow Legends|
ninja best val,Ariasgold,22,https://gamehag.com/forum/t/322115-ninja-best-val,2 years ago,1,https://gamehag.com/img/rank/2.png,Crossout|
is fortnite's base game good?,Monro6500,23,https://gamehag.com/forum/t/321652-is-fortnites-base-game-good,2 years ago,4,https://gamehag.com/img/rank/1.png,War ThunderCrossoutF: Battle Royale|
Is the tactical shorgun better or the pump shotgun,plackixd21,19,https://gamehag.com/forum/t/316663-is-the-tactical-shorgun-better-or-the-pump-shotgun,2 years ago,14,https://gamehag.com/img/rank/1.png,War ThunderCrossoutDragon LordSouverain des DragonsWorld of Warships - Free Premium Bonus!|
Who is your favourite Fortnite Skin,gabrijeto31,30,https://gamehag.com/forum/t/315245-who-is-your-favourite-fortnite-skin,2 years ago,21,https://gamehag.com/img/rank/2.png,War ThunderWorld of WarshipsLineage 2 Classic|
Who do you think will be the next singer to have a concert in the game?,toshiro_0,22,https://gamehag.com/forum/t/320984-who-do-you-think-will-be-the-next-singer-to-have-a-concert-in-the-game,2 years ago,1,https://gamehag.com/img/rank/3.png,SAO's LegendCrossoutAdventure with MistySword Art OnlineWorld of Warships - Free Premium Bonus!|
Fortnite is beast and i play it every day,robloxplayer5,15,https://gamehag.com/forum/t/315418-fortnite-is-beast-and-i-play-it-every-day,2 years ago,18,https://gamehag.com/img/rank/1.png,|
Where dk you jump in a solo match,bestepiccat,22,https://gamehag.com/forum/t/316669-where-dk-you-jump-in-a-solo-match,2 years ago,5,https://gamehag.com/img/rank/2.png,War ThunderRail NationDragon AwakenLords MobileTroveMagic: The Gathering Arena|
How many Days until Season 3 ,Lulbliint69,"",https://gamehag.com/forum/t/316672-how-many-days-until-season-3-,2 years ago,6,https://gamehag.com/img/rank/2.png,War ThunderLineage 2Elvenar|
The most impressive videogame of the decade?,Matekolo,2,https://gamehag.com/forum/t/316065-the-most-impressive-videogame-of-the-decade,2 years ago,3,https://gamehag.com/img/rank/4.png,World of TanksWar ThunderWorld of WarshipsLineage 2CrossoutLineage 2 Classic|
Can mobile and PC players play a tournament?..,SuperPaperWorld,23,https://gamehag.com/forum/t/297541-can-mobile-and-pc-players-play-a-tournament,2 years ago,7,https://gamehag.com/img/rank/2.png,War ThunderBlade & SoulRobloxGame of Thrones Winter is ComingZoo 2 - Animal Park|
where do want to land,Zsombor28HUN,22,https://gamehag.com/forum/t/315569-where-do-want-to-land,2 years ago,12,https://gamehag.com/img/rank/1.png,Crossout|
Hi everyone. Choose one of this. M4A1 or M4A1-S,DIEBYMIR,"",https://gamehag.com/forum/t/312987-hi-everyone-choose-one-of-this-m4a1-or-m4a1-s,2 years ago,5,https://gamehag.com/img/rank/1.png,|
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png,Raid: Shadow Legends|
fortnite is bad?,DIEBYMIR,"",https://gamehag.com/forum/t/314345-fortnite-is-bad11,2 years ago,11,https://gamehag.com/img/rank/1.png,|
fortnite is Next Update New Helicopter who ?,IonutSdk,2,https://gamehag.com/forum/t/306406-fortnite-is-next-update-new-helicopter-who-,2 years ago,3,https://gamehag.com/img/rank/2.png,War ThunderCrossout|
buy this if u are a noob,IonutSdk,2,https://gamehag.com/forum/t/308905-buy-this-if-u-are-a-noob,2 years ago,2,https://gamehag.com/img/rank/2.png,War ThunderCrossout|
fortnite best professtional player you love ?,rsl24121,21,https://gamehag.com/forum/t/314833-fortnite-best-professtional-player-you-love-,2 years ago,2,https://gamehag.com/img/rank/2.png,Forge of EmpiresWar ThunderWorld of WarshipsCrossoutWorld of Warships - Free Premium Bonus!|
Free Minty Axe and Chapter 2 battle pass,dynairty,23,https://gamehag.com/forum/t/168157-free-minty-axe-and-chapter-2-battle-pass,2 years ago,5,https://gamehag.com/img/rank/2.png,War ThunderCrossoutDragon AwakenLords MobileTroveRise of Kingdoms|
Fortnite is good,damjan_brkanic,23,https://gamehag.com/forum/t/314779-fortnite-is-good2,2 years ago,1,https://gamehag.com/img/rank/1.png,War ThunderStar ConflictLineage 2Crossout|
who play fortnite,giannakisyolo,24,https://gamehag.com/forum/t/314511-who-play-fortnite1,2 years ago,3,https://gamehag.com/img/rank/3.png,Forge of EmpiresWar ThunderTERA OnlineBleach OnlineStar ConflictWorld of Warships||
Is fortnite adead or Bad game ?,cristiGK1,21,https://gamehag.com/forum/t/311281-is-fortnite-adead-or-bad-game-,2 years ago,9,https://gamehag.com/img/rank/1.png,War ThunderStar ConflictF: Battle Royale|
Is Fortnite a trash game ?,PBotond04,2,https://gamehag.com/forum/t/311279-is-fortnite-a-trash-game-,2 years ago,15,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictWorld of WarshipsNeverwinterCrossoutWorld of Warships - Free Premium Bonus!|
Pump shotgun,PBotond04,2,https://gamehag.com/forum/t/37557-pump-shotgun,2 years ago,23,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictWorld of WarshipsNeverwinterCrossoutWorld of Warships - Free Premium Bonus!|
I love Fortnite,PBotond04,2,https://gamehag.com/forum/t/38644-i-love-fortnite,2 years ago,10,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictWorld of WarshipsNeverwinterCrossoutWorld of Warships - Free Premium Bonus!|
Fortnite Teammates,OriginalPepsi,38,https://gamehag.com/forum/t/37269-fortnite-teammates1,2 years ago,6,https://gamehag.com/img/rank/1.png,Star Trek Online|
how to speed up the free battle pass withot buying anything ?,kinda9king,20,https://gamehag.com/forum/t/314287-how-to-speed-up-the-free-battle-pass-withot-buying-anything-,2 years ago,5,https://gamehag.com/img/rank/1.png,CrossoutOne Piece H5World of Warships - Free Premium Bonus!|
do you miss double shotgun ? ,TinyWill,25,https://gamehag.com/forum/t/312684-do-you-miss-double-shotgun--,2 years ago,5,https://gamehag.com/img/rank/4.png,War ThunderCrossoutLords MobileMagic NationsRaid: Shadow LegendsRise of Kingdoms: Lost Crusade|
Fortnite nintendo switch,lilk,"",https://gamehag.com/forum/t/37075-fortnite-nintendo-switch,2 years ago,8,https://gamehag.com/img/rank/1.png,Stronghold KingdomsCrossout|
Heey fortnite ,lilk,"",https://gamehag.com/forum/t/36382-heey-fortnite-,2 years ago,4,https://gamehag.com/img/rank/1.png,Stronghold KingdomsCrossout|
Fortnite Mobile News,lilk,"",https://gamehag.com/forum/t/37068-fortnite-mobile-news,2 years ago,3,https://gamehag.com/img/rank/1.png,Stronghold KingdomsCrossout|
What is your favorite drop spot in fortnite,lilk,"",https://gamehag.com/forum/t/37159-what-is-your-favorite-drop-spot-in-fortnite,2 years ago,8,https://gamehag.com/img/rank/1.png,Stronghold KingdomsCrossout|
هل جميلة,098859,20,https://gamehag.com/forum/t/314171--12374,2 years ago,1,https://gamehag.com/img/rank/1.png,War ThunderPlayerunknown's BattlegroundsPUBG MobileMagic: The Gathering ArenaOne Piece H5Battle Warship: Naval Empire|
How to get free skin,Boundinator,"",https://gamehag.com/forum/t/313270-how-to-get-free-skin1,2 years ago,3,https://gamehag.com/img/rank/1.png,War ThunderCrossoutStar Trek OnlineLords MobileF: Battle Royale|
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png,Raid: Shadow Legends|
What's your favorite Gamepass?,Troyboy09,36,https://gamehag.com/forum/t/306601-whats-your-favorite-gamepass,2 years ago,10,https://gamehag.com/img/rank/1.png,War ThunderNeverwinterLords MobileGame of Kings: The Blood Throne|
Fortnite or roblox?,bay_eggx,49,https://gamehag.com/forum/t/307423-fortnite-or-roblox21,2 years ago,7,https://gamehag.com/img/rank/1.png,War ThunderCrossoutWorld of Warships - Free Premium Bonus!Battle Warship: Naval Empire|
fortnite easy gems,furkan_gamers,22,https://gamehag.com/forum/t/309847-fortnite-easy-gems,2 years ago,3,https://gamehag.com/img/rank/1.png,|
fast buliding ,bay_eggx,49,https://gamehag.com/forum/t/309013-fast-buliding-,2 years ago,7,https://gamehag.com/img/rank/1.png,War ThunderCrossoutWorld of Warships - Free Premium Bonus!Battle Warship: Naval Empire|
buy this if u are a noob,H3xud0s,20,https://gamehag.com/forum/t/309175-buy-this-if-u-are-a-noob1,2 years ago,12,https://gamehag.com/img/rank/1.png,War ThunderStar Trek OnlineRise of KingdomsWorld of Warships - Free Premium Bonus!Raid: Shadow Legends|
Out of 10 how much do u rate Fortnite?,ArmandV,24,https://gamehag.com/forum/t/311516-out-of-10-how-much-do-u-rate-fortnite,2 years ago,18,https://gamehag.com/img/rank/1.png,Star ConflictNeverwinter|
How to play Fortnite on ps4,mrqk,1,https://gamehag.com/forum/t/311717-how-to-play-fortnite-on-ps4,2 years ago,2,https://gamehag.com/img/rank/2.png,NeverwinterSword Art OnlineOne Piece H5World of Warships - Free Premium Bonus!State of Survival|
Is the game Died? ,Aggelos42,22,https://gamehag.com/forum/t/311059-is-the-game-died-,2 years ago,9,https://gamehag.com/img/rank/1.png,World of WarshipsLineage 2GrepolisCrossout|
good game and easy to play,sarpxd,30,https://gamehag.com/forum/t/311144-good-game-and-easy-to-play,2 years ago,1,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictBattle Warship: Naval Empire|
wanna play sometime?,domcos5,"",https://gamehag.com/forum/t/310032-wanna-play-sometime,2 years ago,6,https://gamehag.com/img/rank/2.png,World of TanksElvenar|
Is fortnite even worth playing in 2020?,jamesiscool98,29,https://gamehag.com/forum/t/305947-is-fortnite-even-worth-playing-in-2020,2 years ago,10,https://gamehag.com/img/rank/2.png,|
fortnite is not worth it,claubossu,22,https://gamehag.com/forum/t/308266-fortnite-is-not-worth-it,2 years ago,8,https://gamehag.com/img/rank/2.png,|
What is your best skin in Fortnite?,tlauncher321,20,https://gamehag.com/forum/t/308223-what-is-your-best-skin-in-fortnite,2 years ago,3,https://gamehag.com/img/rank/1.png,War ThunderWorld of Warships - Free Premium Bonus!|
best gun combo,bodzai,19,https://gamehag.com/forum/t/307338-best-gun-combo,2 years ago,3,https://gamehag.com/img/rank/2.png,Crossout|
Tell me if you think fortnite is a dead and dumb game,bodzai,19,https://gamehag.com/forum/t/307314-tell-me-if-you-think-fortnite-is-a-dead-and-dumb-game3,2 years ago,3,https://gamehag.com/img/rank/2.png,Crossout|
Fortnite is the best Game ever,Realdiamond,15,https://gamehag.com/forum/t/286202-fortnite-is-the-best-game-ever7,2 years ago,9,https://gamehag.com/img/rank/3.png,|
best skins at low price,momoh98,16,https://gamehag.com/forum/t/307337-best-skins--at-low-price,2 years ago,2,https://gamehag.com/img/rank/1.png,NeverwinterCrossoutAdventure with MistySoul Calibur|
new operation modes,momoh98,16,https://gamehag.com/forum/t/307895-new-operation-modes,2 years ago,1,https://gamehag.com/img/rank/1.png,NeverwinterCrossoutAdventure with MistySoul Calibur|
can 2 player play fortnite once from same ps4,lejongdary,22,https://gamehag.com/forum/t/305885-can-2-player-play-fortnite-once-from-same-ps4,2 years ago,2,https://gamehag.com/img/rank/1.png,War ThunderNaruto OnlineBattle Warship: Naval Empire|
can someone gift me an fortnite acc,lejongdary,22,https://gamehag.com/forum/t/305886-can-someone-gift-me-an-fortnite-acc,2 years ago,5,https://gamehag.com/img/rank/1.png,War ThunderNaruto OnlineBattle Warship: Naval Empire|
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png,Raid: Shadow Legends|
Tell me if you think fortnite is a dead and dumb game,lejongdary,22,https://gamehag.com/forum/t/305903-tell-me-if-you-think-fortnite-is-a-dead-and-dumb-game2,2 years ago,4,https://gamehag.com/img/rank/1.png,War ThunderNaruto OnlineBattle Warship: Naval Empire|
Fortnite is bad or good?,lejongdary,22,https://gamehag.com/forum/t/305991-fortnite-is-bad-or-good,2 years ago,3,https://gamehag.com/img/rank/1.png,War ThunderNaruto OnlineBattle Warship: Naval Empire|
fortnite is Bugs soo High ?,lejongdary,22,https://gamehag.com/forum/t/306399-fortnite-is-bugs-soo-high-,2 years ago,2,https://gamehag.com/img/rank/1.png,War ThunderNaruto OnlineBattle Warship: Naval Empire|
you favorite guns Who dude ?,lejongdary,22,https://gamehag.com/forum/t/306404-you-favorite-guns-who-dude-,2 years ago,2,https://gamehag.com/img/rank/1.png,War ThunderNaruto OnlineBattle Warship: Naval Empire|
Your favorite Map who ?,lejongdary,22,https://gamehag.com/forum/t/306405-your-favorite-map-who-,2 years ago,3,https://gamehag.com/img/rank/1.png,War ThunderNaruto OnlineBattle Warship: Naval Empire|
Bet playeslrs un fortnite ,lejongdary,22,https://gamehag.com/forum/t/306398-bet-playeslrs-un-fortnite-,2 years ago,7,https://gamehag.com/img/rank/1.png,War ThunderNaruto OnlineBattle Warship: Naval Empire|
Skins in fortnite,Mami_Nessa,2,https://gamehag.com/forum/t/304713-skins-in-fortnite3,2 years ago,7,https://gamehag.com/img/rank/2.png,World of Warships - Free Premium Bonus!|
Tuyryryrjyryrkyrk,EnsDndr28,22,https://gamehag.com/forum/t/305705-tuyryryrjyryrkyrk,2 years ago,2,https://gamehag.com/img/rank/2.png,War Thunder|
Is fortnite playable now?,dolphinator,14,https://gamehag.com/forum/t/305525-is-fortnite-playable-now,2 years ago,2,https://gamehag.com/img/rank/2.png,CrossoutOne Piece H5World of Warships - Free Premium Bonus!|
Miss the old days of season 1-3,todo_ting_skyaaa,21,https://gamehag.com/forum/t/305162-miss-the-old-days-of-season-1-3,2 years ago,4,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictWorld of WarshipsNaruto OnlineCrossoutRise of Kingdoms|
Нурминский это здорово,MihaS3675,"",https://gamehag.com/forum/t/305193---12536,2 years ago,1,https://gamehag.com/img/rank/2.png,|
how can i get v_bucks,Anhel,20,https://gamehag.com/forum/t/36614-how-can-i-get-vbucks,4 years ago,9,https://gamehag.com/img/rank/2.png,NeverwinterRobloxAdventure with Misty|
wow very nice game thanks fortnite,emperor98,28,https://gamehag.com/forum/t/37764-wow-very-nice-game-thanks-fortnite,2 years ago,3,https://gamehag.com/img/rank/3.png,Forge of EmpiresWar ThunderTravianStar ConflictWorld of WarshipsWarTune|
Fortnite hakkında,Anonymous1588134029,20,https://gamehag.com/forum/t/36676-fortnite-hakknda,2 years ago,8,https://gamehag.com/img/rank/2.png,WarTuneCrossoutWorld of Warships - Free Premium Bonus!|
Fortnite better than Pubg,Anonymous1588134029,20,https://gamehag.com/forum/t/264705-fortnite-better-than-pubg1,2 years ago,28,https://gamehag.com/img/rank/2.png,WarTuneCrossoutWorld of Warships - Free Premium Bonus!|
Are you a pro fortnite player?,booperthesnooter,21,https://gamehag.com/forum/t/36999-are-you-a-pro-fortnite-player,4 years ago,13,https://gamehag.com/img/rank/5.png,War ThunderImperia OnlineGrand Prix Racing OnlineFiesta OnlineBig Bang EmpireRail Nation|
fortnite vs minecraft vs roblox,MyHeroNixon,27,https://gamehag.com/forum/t/301029-fortnite-vs-minecraft-vs-roblox,2 years ago,3,https://gamehag.com/img/rank/2.png,War ThunderStronghold KingdomsLineage 2NeverwinterBlack DesertCrossout|
Fortinite or Halo,bigbean,"",https://gamehag.com/forum/t/300806-fortinite-or-halo,2 years ago,4,https://gamehag.com/img/rank/1.png,World of TanksDragon AwakenRise of KingdomsArk of War - The War of Universe|
FortnitePubgApex Legends Free Fire...,bay_eggx,49,https://gamehag.com/forum/t/300996-fortnitepubgapex-legends-free-fire,2 years ago,2,https://gamehag.com/img/rank/1.png,War ThunderCrossoutWorld of Warships - Free Premium Bonus!Battle Warship: Naval Empire|
Minecraft or fortnite,bay_eggx,49,https://gamehag.com/forum/t/301051-minecraft-or-fortnite3,2 years ago,2,https://gamehag.com/img/rank/1.png,War ThunderCrossoutWorld of Warships - Free Premium Bonus!Battle Warship: Naval Empire|
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png,Raid: Shadow Legends|
don't mind me,tonysama,22,https://gamehag.com/forum/t/268995-dont-mind-me8,2 years ago,8,https://gamehag.com/img/rank/2.png,Star ConflictCrossoutGame of Thrones Winter is ComingOne Piece H5Pirates of the Caribbean: ToWWorld of Warships - Free Premium Bonus!|
epic games need to fix fortnite or this game isnt going anywhere ,Elraklakteso10,"",https://gamehag.com/forum/t/300306-epic-games-need-to-fix-fortnite-or-this-game-isnt-going-anywhere-,2 years ago,2,https://gamehag.com/img/rank/2.png,War ThunderLineage 2NeverwinterF: Battle Royale|
Whats Your Favorite Skin or Location in fortnite,Nojusvas1134,"",https://gamehag.com/forum/t/300081-whats-your-favorite-skin-or-location-in-fortnite,2 years ago,2,https://gamehag.com/img/rank/2.png,World of TanksGrepolisGame of Thrones Winter is ComingOne Piece H5|
Ratings of Fortnite,Big_Spud,2,https://gamehag.com/forum/t/299939-ratings-of-fortnite,2 years ago,1,https://gamehag.com/img/rank/2.png,Bleach OnlineWorld of Warships - Free Premium Bonus!Next RP|
which seasons did you play fortnite?,ifragile,"",https://gamehag.com/forum/t/299609-which-seasons-did-you-play-fortnite,2 years ago,2,https://gamehag.com/img/rank/1.png,Adventure with Misty|
what do you think about fornite commumity?,GuiltySpArK321,22,https://gamehag.com/forum/t/298576-what-do-you-think-about-fornite-commumity,2 years ago,2,https://gamehag.com/img/rank/1.png,War ThunderWorld of Warships - Free Premium Bonus!|
your best gun ?,Spewww,35,https://gamehag.com/forum/t/299147-your-best-gun-,2 years ago,1,https://gamehag.com/img/rank/2.png,|
Which gun do you want to get unvaulted?,yeeterskeeter15,2,https://gamehag.com/forum/t/299135-which-gun-do-you-want-to-get-unvaulted,2 years ago,1,https://gamehag.com/img/rank/3.png,World of TanksNaruto OnlineWorld of Warships - Free Premium Bonus!|
idk my pc dont run this game,Boody12,24,https://gamehag.com/forum/t/299128-idk-my-pc-dont-run-this-game,2 years ago,2,https://gamehag.com/img/rank/2.png,War ThunderWarTuneRobloxCrossoutGame of Thrones Winter is ComingOne Piece H5|
do you think Jarvis deserved the ban,f_rk,22,https://gamehag.com/forum/t/298650-do-you-think-jarvis-deserved-the-ban,2 years ago,3,https://gamehag.com/img/rank/2.png,World of TanksHarvest LandRise of Kingdoms|
Do u think Jarvis deserve ti be banned?,Booca_,72,https://gamehag.com/forum/t/296524-do-u-think-jarvis-deserve-ti-be-banned,2 years ago,5,https://gamehag.com/img/rank/2.png,Star ConflictCrossoutStar Trek OnlineOne Piece H5World of Warships - Free Premium Bonus!|
What do you think of the heavy sniper nerf?,nernet,26,https://gamehag.com/forum/t/297444-what-do-you-think-of-the-heavy-sniper-nerf,2 years ago,7,https://gamehag.com/img/rank/2.png,War ThunderStar ConflictOnePiece OnlineCrossoutWorld of Warships - Free Premium Bonus!|
idk what to say this game going down,Littleswagbee,"",https://gamehag.com/forum/t/298451-idk-what-to-say-this-game-going-down,2 years ago,2,https://gamehag.com/img/rank/1.png,World of TanksWar ThunderRoblox|
Fortnite: Battle royale,SuperPaperWorld,23,https://gamehag.com/forum/t/296144-fortnite-battle-royale131,2 years ago,7,https://gamehag.com/img/rank/2.png,War ThunderBlade & SoulRobloxGame of Thrones Winter is ComingZoo 2 - Animal Park|
Should i continue playing fortnite?,f_rk,22,https://gamehag.com/forum/t/297469-should-i-continue-playing-fortnite,2 years ago,5,https://gamehag.com/img/rank/2.png,World of TanksHarvest LandRise of Kingdoms|
build hızı,Furkan32,32,https://gamehag.com/forum/t/36403-build-hz,4 years ago,6,https://gamehag.com/img/rank/2.png,Roblox|
No skin team,h_v_minh_khi,18,https://gamehag.com/forum/t/296108-no-skin-team,2 years ago,2,https://gamehag.com/img/rank/1.png,|
